Animal,Breed,Age,Gender,Health Condition,Size,Color,Location,Training,Popularity,Price
Hamster,Campbell's,5,Female,Vaccinated,Medium,Mixed,France,Untrained,Low,60.0
Hamster,Roborovski,10,Male,Special Needs,Large,Grey,France,Well Trained,High,133.25
Dog,Bulldog,7,Female,Special Needs,Medium,Brown,Canada,Untrained,High,177.5
Rabbit,Mini Rex,2,Female,Sick,Medium,Brown,India,Untrained,Medium,77.0
Bird,Canary,1,Male,Healthy,Medium,White,Germany,Untrained,Medium,125.0
Cat,Bengal,5,Male,Special Needs,Large,Grey,Australia,Highly Trained,High,172.25
Rabbit,Flemish Giant,1,Female,Healthy,Large,Black,UK,Untrained,Medium,125.0
Rabbit,Angora,12,Male,Sick,Large,Golden,USA,Well Trained,High,209.3
Hamster,Roborovski,15,Male,Vaccinated,Medium,Spotted,Germany,Untrained,High,210.0
Bird,Finch,5,Male,Vaccinated,Small,Grey,Australia,Well Trained,Low,97.5
Cat,Maine Coon,13,Female,Sick,Medium,Spotted,Australia,Untrained,Medium,164.5
Hamster,Campbell's,3,Female,Special Needs,Large,Spotted,India,Well Trained,Low,45.5
Cat,Persian,13,Male,Vaccinated,Small,Mixed,Canada,Basic Training,Low,165.0
Cat,Maine Coon,10,Male,Healthy,Large,Black,Germany,Highly Trained,Low,247.0
Cat,Maine Coon,4,Male,Vaccinated,Medium,Grey,Australia,Basic Training,Low,140.0
Dog,Bulldog,4,Male,Healthy,Small,Spotted,France,Well Trained,Low,286.0
Cat,Siamese,10,Female,Sick,Small,Golden,Australia,Untrained,Medium,140.0
Cat,Siamese,10,Female,Special Needs,Medium,Black,France,Highly Trained,High,175.5
Cat,Sphynx,8,Male,Sick,Large,Golden,UK,Well Trained,Low,163.8
Rabbit,Flemish Giant,10,Male,Healthy,Large,Golden,India,Untrained,High,220.0
Dog,Poodle,11,Male,Sick,Large,Spotted,India,Highly Trained,Low,268.45
Hamster,Chinese,1,Male,Healthy,Small,White,India,Untrained,High,120.0
Cat,Persian,14,Male,Sick,Large,Golden,USA,Basic Training,High,217.0
Cat,Persian,13,Female,Vaccinated,Large,Mixed,France,Well Trained,Medium,331.5
Dog,Poodle,8,Female,Special Needs,Small,Golden,USA,Basic Training,Medium,145.0
Dog,Bulldog,13,Male,Vaccinated,Small,Spotted,UK,Well Trained,Low,344.5
Dog,Labrador,7,Female,Sick,Small,Golden,India,Well Trained,Medium,259.35
Rabbit,Flemish Giant,8,Female,Sick,Medium,Golden,Canada,Untrained,Medium,98.0
Bird,Cockatiel,3,Female,Vaccinated,Small,Brown,France,Highly Trained,Medium,149.5
Rabbit,Holland Lop,13,Male,Healthy,Large,Mixed,Australia,Well Trained,High,305.5
Hamster,Syrian,6,Male,Special Needs,Large,Mixed,France,Highly Trained,Medium,87.75
Dog,Labrador,12,Female,Special Needs,Large,Golden,Germany,Highly Trained,Medium,227.5
Cat,Persian,12,Male,Healthy,Small,Grey,India,Well Trained,Medium,273.0
Cat,Maine Coon,11,Male,Sick,Small,Mixed,UK,Basic Training,High,178.5
Bird,Macaw,15,Male,Vaccinated,Medium,Black,UK,Highly Trained,High,318.5
Cat,Siamese,12,Male,Healthy,Small,Black,France,Untrained,High,260.0
Rabbit,Mini Rex,11,Female,Healthy,Large,Grey,Canada,Basic Training,High,225.0
Cat,Siamese,6,Female,Vaccinated,Medium,White,UK,Highly Trained,High,325.0
Bird,Parrot,13,Female,Special Needs,Small,Spotted,France,Untrained,Medium,82.5
Hamster,Campbell's,8,Male,Special Needs,Large,Spotted,Canada,Basic Training,Medium,72.5
Bird,Cockatiel,5,Male,Special Needs,Small,Grey,USA,Well Trained,Medium,81.25
Rabbit,Holland Lop,12,Female,Healthy,Large,Spotted,UK,Highly Trained,Low,169.0
Bird,Parrot,4,Male,Sick,Medium,Golden,France,Basic Training,Low,63.0
Bird,Cockatiel,1,Male,Healthy,Medium,Spotted,USA,Untrained,High,175.0
Dog,Beagle,13,Female,Sick,Small,Mixed,India,Untrained,High,255.5
Dog,Golden Retriever,11,Female,Vaccinated,Small,Mixed,USA,Highly Trained,Medium,396.5
Cat,Bengal,4,Male,Healthy,Medium,Mixed,France,Highly Trained,Medium,247.0
Hamster,Campbell's,13,Male,Vaccinated,Large,Black,Germany,Basic Training,Low,120.0
Cat,Bengal,6,Male,Healthy,Small,White,Germany,Untrained,High,230.0
Hamster,Syrian,5,Male,Vaccinated,Small,White,USA,Highly Trained,Medium,117.0
Hamster,Roborovski,1,Female,Sick,Large,Black,Canada,Well Trained,High,145.6
Rabbit,Netherland Dwarf,6,Male,Sick,Large,Golden,USA,Well Trained,Medium,136.5
Cat,Persian,9,Female,Healthy,Medium,Grey,France,Untrained,High,265.0
Hamster,Syrian,4,Female,Healthy,Medium,Brown,India,Well Trained,High,201.5
Cat,Persian,10,Male,Sick,Medium,Mixed,France,Basic Training,Low,119.0
Hamster,Campbell's,15,Male,Special Needs,Large,Grey,Canada,Untrained,Medium,90.0
Hamster,Dwarf,12,Male,Healthy,Large,Black,Canada,Highly Trained,High,279.5
Cat,Sphynx,6,Female,Sick,Large,Grey,USA,Basic Training,High,189.0
Hamster,Chinese,15,Male,Vaccinated,Medium,Grey,Germany,Highly Trained,Medium,208.0
Dog,Golden Retriever,9,Male,Healthy,Large,White,Canada,Untrained,Medium,335.0
Bird,Canary,3,Male,Vaccinated,Medium,Mixed,Germany,Highly Trained,High,240.5
Hamster,Roborovski,9,Female,Vaccinated,Large,Spotted,France,Well Trained,Medium,195.0
Rabbit,Netherland Dwarf,1,Female,Special Needs,Small,Brown,UK,Basic Training,Low,17.5
Bird,Finch,8,Female,Healthy,Medium,White,Australia,Highly Trained,Low,143.0
Dog,Labrador,11,Female,Vaccinated,Medium,Brown,France,Basic Training,High,375.0
Cat,Maine Coon,15,Female,Sick,Large,Mixed,USA,Well Trained,Low,195.65
Rabbit,Mini Rex,7,Female,Healthy,Medium,Black,USA,Untrained,Medium,135.0
Dog,Poodle,3,Female,Sick,Medium,Black,France,Untrained,Low,164.5
Bird,Finch,6,Male,Healthy,Medium,Grey,UK,Highly Trained,Medium,195.0
Dog,Beagle,14,Male,Sick,Small,Spotted,India,Highly Trained,High,336.7
Cat,Bengal,6,Male,Sick,Small,Grey,UK,Basic Training,Medium,126.0
Cat,Siamese,10,Male,Healthy,Large,Black,France,Well Trained,Low,247.0
Cat,Bengal,3,Female,Sick,Medium,Golden,Germany,Basic Training,Low,94.5
Bird,Macaw,4,Female,Sick,Medium,Brown,Australia,Basic Training,Medium,98.0
Rabbit,Angora,11,Female,Special Needs,Large,White,Australia,Basic Training,Medium,87.5
Hamster,Dwarf,15,Female,Healthy,Small,Black,Australia,Basic Training,High,190.0
Bird,Macaw,10,Female,Healthy,Large,Mixed,USA,Untrained,Medium,190.0
Bird,Finch,3,Male,Special Needs,Medium,Golden,Australia,Highly Trained,Medium,87.75
Hamster,Syrian,8,Male,Sick,Large,Brown,Canada,Basic Training,Low,66.5
Dog,Bulldog,8,Female,Special Needs,Large,White,Germany,Basic Training,High,190.0
Dog,Golden Retriever,9,Male,Special Needs,Large,Brown,UK,Well Trained,Low,185.25
Dog,Bulldog,13,Female,Healthy,Large,Mixed,Australia,Basic Training,Low,305.0
Rabbit,Mini Rex,14,Female,Special Needs,Large,Golden,Canada,Basic Training,Low,70.0
Rabbit,Mini Rex,1,Male,Vaccinated,Medium,Mixed,Canada,Basic Training,Medium,105.0
Dog,Beagle,11,Female,Sick,Medium,Grey,USA,Untrained,Medium,227.5
Cat,Sphynx,10,Female,Vaccinated,Medium,Golden,Australia,Highly Trained,Medium,286.0
Rabbit,Holland Lop,11,Male,Special Needs,Medium,Spotted,Germany,Basic Training,Medium,77.5
Bird,Macaw,10,Female,Healthy,Small,Black,USA,Well Trained,Medium,195.0
Rabbit,Flemish Giant,3,Male,Sick,Large,White,UK,Untrained,Medium,94.5
Hamster,Syrian,11,Female,Sick,Medium,Black,Canada,Untrained,High,133.0
Rabbit,Angora,2,Female,Healthy,Small,Golden,India,Basic Training,Low,40.0
Bird,Parrot,3,Male,Vaccinated,Small,Grey,UK,Highly Trained,Low,84.5
Cat,Sphynx,6,Female,Special Needs,Medium,Black,France,Basic Training,Low,75.0
Hamster,Roborovski,15,Female,Special Needs,Large,Brown,USA,Well Trained,Medium,117.0
Hamster,Campbell's,4,Female,Sick,Medium,White,Germany,Basic Training,Low,38.5
Dog,Labrador,15,Female,Sick,Medium,Spotted,UK,Highly Trained,Low,268.45
Rabbit,Flemish Giant,2,Male,Healthy,Small,Mixed,Canada,Highly Trained,Medium,117.0
Cat,Persian,11,Female,Vaccinated,Medium,White,UK,Well Trained,Low,227.5
Dog,Poodle,1,Male,Healthy,Medium,Mixed,UK,Highly Trained,Medium,357.5
Bird,Canary,1,Female,Sick,Small,White,USA,Well Trained,Low,50.05
Dog,Bulldog,6,Male,Vaccinated,Small,Mixed,India,Well Trained,Low,299.0
Bird,Cockatiel,14,Male,Sick,Large,Golden,USA,Untrained,Medium,147.0
Rabbit,Netherland Dwarf,13,Female,Healthy,Small,Golden,India,Basic Training,Low,95.0
Rabbit,Angora,5,Female,Healthy,Large,Grey,Australia,Highly Trained,Low,123.5
Hamster,Chinese,10,Male,Special Needs,Large,Grey,USA,Untrained,Low,52.5
Bird,Parrot,10,Female,Special Needs,Small,Grey,Australia,Highly Trained,High,130.0
Hamster,Roborovski,3,Female,Sick,Small,Brown,USA,Highly Trained,Low,27.3
Cat,Bengal,15,Male,Vaccinated,Medium,Golden,India,Highly Trained,Low,253.5
Hamster,Chinese,12,Female,Sick,Small,Grey,USA,Well Trained,Medium,113.75
Dog,Beagle,1,Female,Sick,Medium,Golden,France,Well Trained,Medium,250.25
Bird,Parrot,12,Male,Healthy,Medium,Brown,USA,Highly Trained,Medium,234.0
Dog,Bulldog,7,Male,Special Needs,Medium,Brown,India,Well Trained,Medium,198.25
Dog,Beagle,5,Female,Vaccinated,Small,Black,Canada,Highly Trained,High,422.5
Rabbit,Angora,10,Female,Healthy,Small,Mixed,USA,Well Trained,Low,104.0
Hamster,Chinese,15,Female,Healthy,Small,Brown,Canada,Highly Trained,High,247.0
Bird,Finch,14,Male,Vaccinated,Small,Mixed,India,Basic Training,High,220.0
Bird,Parrot,8,Female,Healthy,Medium,Brown,USA,Well Trained,Medium,208.0
Bird,Finch,10,Male,Sick,Large,Golden,USA,Basic Training,High,168.0
Bird,Cockatiel,14,Male,Special Needs,Large,Spotted,Canada,Highly Trained,Low,104.0
Rabbit,Holland Lop,3,Female,Vaccinated,Medium,Grey,USA,Highly Trained,Low,84.5
Bird,Parrot,5,Male,Sick,Large,Brown,USA,Highly Trained,Medium,150.15
Dog,Labrador,1,Female,Special Needs,Small,Brown,Germany,Basic Training,Low,102.5
Bird,Parrot,9,Male,Special Needs,Medium,Grey,Australia,Untrained,Low,57.5
Bird,Cockatiel,2,Male,Sick,Medium,Golden,USA,Untrained,High,126.0
Dog,Golden Retriever,15,Male,Sick,Large,Brown,France,Highly Trained,High,377.65
Hamster,Dwarf,5,Male,Vaccinated,Medium,White,Canada,Untrained,Medium,110.0
Dog,Beagle,3,Female,Vaccinated,Small,White,UK,Highly Trained,Medium,344.5
Hamster,Dwarf,8,Female,Healthy,Small,White,UK,Highly Trained,High,201.5
Bird,Cockatiel,11,Male,Healthy,Medium,Mixed,Germany,Highly Trained,Low,162.5
Dog,Labrador,13,Female,Sick,Small,White,India,Highly Trained,Low,241.15
Cat,Sphynx,6,Male,Special Needs,Medium,White,France,Highly Trained,Low,97.5
Dog,Bulldog,13,Male,Sick,Small,Brown,USA,Untrained,High,255.5
Dog,Labrador,13,Female,Healthy,Small,Golden,Canada,Highly Trained,High,474.5
Cat,Persian,2,Male,Sick,Small,Brown,Canada,Well Trained,High,191.1
Rabbit,Netherland Dwarf,15,Female,Sick,Large,Black,France,Well Trained,Medium,177.45
Cat,Persian,13,Male,Special Needs,Small,Golden,Australia,Highly Trained,Low,107.25
Rabbit,Flemish Giant,1,Male,Vaccinated,Large,Black,Canada,Untrained,Low,75.0
Bird,Canary,11,Female,Sick,Large,Golden,Canada,Well Trained,Medium,177.45
Dog,Beagle,6,Male,Sick,Small,Mixed,USA,Untrained,Medium,196.0
Rabbit,Flemish Giant,4,Female,Special Needs,Medium,White,USA,Basic Training,High,85.0
Cat,Siamese,4,Male,Healthy,Small,Mixed,USA,Basic Training,Medium,170.0
Rabbit,Flemish Giant,15,Male,Healthy,Small,Mixed,USA,Well Trained,Low,136.5
Dog,Bulldog,3,Female,Vaccinated,Small,Black,UK,Basic Training,Medium,265.0
Cat,Maine Coon,14,Female,Healthy,Small,Spotted,Germany,Basic Training,High,270.0
Hamster,Roborovski,5,Male,Healthy,Medium,Mixed,India,Basic Training,High,160.0
Bird,Parrot,9,Male,Special Needs,Medium,Black,Germany,Highly Trained,High,139.75
Bird,Cockatiel,12,Male,Healthy,Medium,Golden,USA,Untrained,Medium,180.0
Hamster,Dwarf,10,Female,Special Needs,Small,White,India,Untrained,High,82.5
Bird,Parrot,9,Male,Vaccinated,Medium,Black,Australia,Well Trained,Low,149.5
Dog,Bulldog,13,Male,Special Needs,Medium,White,Germany,Well Trained,Low,185.25
Dog,Poodle,5,Female,Vaccinated,Medium,Grey,USA,Basic Training,High,345.0
Bird,Parrot,10,Male,Special Needs,Small,Brown,Canada,Highly Trained,Low,65.0
Dog,Bulldog,6,Male,Healthy,Medium,White,Australia,Basic Training,Low,250.0
Bird,Canary,5,Female,Special Needs,Medium,Golden,India,Untrained,Low,47.5
Dog,Bulldog,10,Male,Sick,Medium,Grey,Australia,Highly Trained,Low,245.7
Dog,Golden Retriever,11,Female,Healthy,Medium,Brown,France,Highly Trained,High,487.5
Dog,Bulldog,13,Male,Special Needs,Small,Golden,France,Basic Training,High,182.5
Rabbit,Angora,3,Female,Vaccinated,Small,Grey,India,Basic Training,High,145.0
Cat,Bengal,4,Female,Sick,Small,Grey,Germany,Well Trained,Low,109.2
Dog,Labrador,10,Female,Healthy,Large,White,UK,Well Trained,High,507.0
Cat,Sphynx,10,Female,Healthy,Small,Spotted,France,Basic Training,Low,150.0
Hamster,Campbell's,11,Female,Vaccinated,Small,Golden,India,Highly Trained,Medium,156.0
Dog,Labrador,6,Female,Special Needs,Large,Black,France,Highly Trained,Medium,208.0
Hamster,Chinese,5,Female,Vaccinated,Large,Mixed,UK,Highly Trained,Low,104.0
Bird,Parrot,2,Male,Sick,Large,Mixed,Canada,Well Trained,Low,91.0
Bird,Canary,1,Male,Vaccinated,Medium,White,India,Well Trained,Medium,162.5
Dog,Poodle,7,Female,Vaccinated,Small,Spotted,UK,Well Trained,Medium,370.5
Dog,Beagle,10,Male,Special Needs,Small,Golden,India,Highly Trained,Low,162.5
Rabbit,Mini Rex,1,Male,Special Needs,Medium,Golden,Canada,Untrained,Low,27.5
Bird,Cockatiel,11,Male,Special Needs,Small,Brown,Australia,Well Trained,High,133.25
Bird,Finch,13,Male,Vaccinated,Medium,Golden,USA,Untrained,Low,135.0
Bird,Parrot,12,Female,Healthy,Medium,Mixed,Australia,Well Trained,Low,169.0
Bird,Finch,6,Male,Vaccinated,Large,Golden,France,Well Trained,High,286.0
Dog,Labrador,13,Female,Healthy,Medium,Spotted,Germany,Highly Trained,Medium,435.5
Rabbit,Flemish Giant,12,Male,Special Needs,Medium,Mixed,Canada,Well Trained,Medium,104.0
Rabbit,Flemish Giant,3,Female,Sick,Small,White,Canada,Basic Training,Low,31.5
Cat,Maine Coon,10,Male,Sick,Large,Black,USA,Untrained,Medium,168.0
Hamster,Campbell's,13,Male,Vaccinated,Large,Mixed,Germany,Well Trained,Low,156.0
Bird,Parrot,2,Male,Healthy,Large,Golden,UK,Well Trained,Low,130.0
Bird,Macaw,2,Female,Special Needs,Small,Grey,France,Highly Trained,Medium,71.5
Hamster,Chinese,9,Female,Special Needs,Small,Golden,Australia,Well Trained,High,104.0
Hamster,Syrian,6,Female,Vaccinated,Large,Black,USA,Untrained,High,185.0
Dog,Bulldog,1,Male,Vaccinated,Small,White,Australia,Highly Trained,Low,266.5
Dog,Labrador,6,Female,Vaccinated,Medium,White,India,Basic Training,Low,250.0
Rabbit,Angora,8,Female,Healthy,Small,Black,Australia,Highly Trained,Medium,156.0
Hamster,Chinese,11,Female,Vaccinated,Small,Mixed,France,Basic Training,Low,70.0
Bird,Finch,5,Male,Sick,Medium,Grey,France,Well Trained,Low,86.45
Cat,Maine Coon,7,Female,Vaccinated,Large,Spotted,Australia,Well Trained,Low,227.5
Bird,Cockatiel,7,Female,Vaccinated,Large,White,Canada,Basic Training,High,225.0
Bird,Canary,7,Male,Healthy,Medium,Black,Australia,Basic Training,Medium,155.0
Dog,Poodle,12,Male,Sick,Small,Grey,France,Untrained,High,252.0
Dog,Beagle,4,Male,Special Needs,Large,Golden,UK,Well Trained,Medium,201.5
Cat,Sphynx,8,Male,Vaccinated,Medium,Black,Australia,Highly Trained,High,338.0
Bird,Parrot,8,Female,Special Needs,Large,Brown,France,Basic Training,Medium,90.0
Bird,Parrot,3,Female,Special Needs,Medium,Grey,UK,Basic Training,Medium,67.5
Bird,Canary,15,Female,Healthy,Small,Black,USA,Well Trained,Low,162.5
Cat,Sphynx,3,Male,Sick,Small,Black,France,Basic Training,Low,80.5
Cat,Bengal,14,Female,Sick,Medium,Grey,UK,Basic Training,Medium,168.0
Dog,Beagle,14,Male,Healthy,Large,Brown,Australia,Basic Training,Low,310.0
Hamster,Campbell's,1,Male,Sick,Small,White,India,Well Trained,Low,18.2
Dog,Poodle,8,Female,Special Needs,Medium,Brown,UK,Basic Training,High,180.0
Rabbit,Flemish Giant,6,Female,Healthy,Small,Brown,Australia,Untrained,Low,60.0
Bird,Canary,11,Female,Sick,Medium,White,UK,Untrained,Medium,122.5
Cat,Siamese,2,Male,Special Needs,Large,Black,Canada,Well Trained,High,162.5
Dog,Beagle,3,Male,Special Needs,Large,White,Germany,Well Trained,Medium,198.25
Dog,Poodle,15,Female,Healthy,Large,Black,India,Untrained,High,415.0
Hamster,Chinese,12,Female,Healthy,Medium,Golden,USA,Highly Trained,High,253.5
Bird,Finch,10,Male,Vaccinated,Medium,Mixed,France,Highly Trained,High,286.0
Dog,Golden Retriever,3,Female,Sick,Medium,Grey,Canada,Well Trained,Medium,259.35
Dog,Beagle,8,Female,Vaccinated,Large,Black,Germany,Highly Trained,Low,364.0
Hamster,Roborovski,7,Female,Healthy,Small,Mixed,Canada,Basic Training,Low,50.0
Hamster,Dwarf,4,Female,Sick,Large,Golden,USA,Untrained,High,122.5
Rabbit,Netherland Dwarf,15,Male,Special Needs,Medium,Grey,Australia,Basic Training,Low,62.5
Rabbit,Mini Rex,13,Male,Healthy,Medium,White,Germany,Highly Trained,Low,149.5
Dog,Poodle,4,Male,Vaccinated,Medium,White,Germany,Highly Trained,High,442.0
Rabbit,Angora,12,Male,Sick,Small,Mixed,India,Basic Training,High,133.0
Bird,Cockatiel,1,Male,Special Needs,Small,Mixed,Germany,Highly Trained,High,100.75
Rabbit,Mini Rex,6,Female,Special Needs,Small,Golden,Canada,Untrained,Low,30.0
Hamster,Syrian,13,Female,Special Needs,Medium,Mixed,USA,Highly Trained,Medium,97.5
Dog,Beagle,3,Male,Sick,Small,Black,Germany,Well Trained,Medium,241.15
Dog,Poodle,11,Female,Vaccinated,Medium,Grey,India,Basic Training,Low,275.0
Dog,Golden Retriever,10,Female,Healthy,Medium,Golden,Germany,Untrained,Low,270.0
Bird,Finch,9,Female,Sick,Medium,Brown,France,Highly Trained,Medium,150.15
Dog,Bulldog,3,Female,Vaccinated,Medium,Mixed,France,Untrained,Medium,285.0
Rabbit,Angora,15,Male,Sick,Medium,Black,UK,Well Trained,Medium,159.25
Hamster,Dwarf,4,Male,Vaccinated,Small,White,Canada,Well Trained,Low,45.5
Bird,Canary,14,Female,Sick,Medium,Brown,UK,Untrained,Medium,133.0
Rabbit,Holland Lop,10,Female,Sick,Large,Black,Germany,Highly Trained,Medium,154.7
Bird,Canary,9,Male,Healthy,Medium,Golden,France,Highly Trained,Medium,214.5
Cat,Sphynx,1,Male,Special Needs,Medium,Black,UK,Untrained,High,112.5
Dog,Labrador,4,Male,Vaccinated,Medium,Spotted,France,Untrained,Medium,290.0
Dog,Golden Retriever,5,Female,Special Needs,Medium,Mixed,India,Well Trained,Low,159.25
Dog,Golden Retriever,11,Female,Sick,Large,Black,Australia,Basic Training,High,276.5
Bird,Parrot,13,Male,Special Needs,Medium,Spotted,USA,Basic Training,Low,67.5
Cat,Bengal,9,Female,Special Needs,Medium,Black,India,Well Trained,High,172.25
Rabbit,Flemish Giant,11,Female,Special Needs,Large,Black,France,Highly Trained,Low,81.25
Bird,Cockatiel,8,Female,Special Needs,Large,Grey,Canada,Basic Training,Low,65.0
Bird,Finch,3,Female,Special Needs,Large,Golden,Canada,Untrained,High,102.5
Hamster,Roborovski,11,Male,Healthy,Large,Golden,USA,Highly Trained,Low,143.0
Rabbit,Angora,8,Male,Sick,Medium,Mixed,USA,Highly Trained,Medium,127.4
Cat,Persian,7,Female,Vaccinated,Medium,White,France,Basic Training,High,255.0
Hamster,Roborovski,8,Female,Sick,Small,Black,Canada,Untrained,Medium,73.5
Hamster,Campbell's,15,Female,Sick,Small,Brown,India,Untrained,High,133.0
Dog,Golden Retriever,7,Female,Vaccinated,Medium,Black,UK,Well Trained,Low,331.5
Hamster,Dwarf,13,Female,Vaccinated,Large,Grey,Australia,Well Trained,Low,156.0
Dog,Golden Retriever,12,Male,Vaccinated,Small,Mixed,USA,Basic Training,High,360.0
Rabbit,Mini Rex,7,Female,Healthy,Large,Grey,Australia,Untrained,Medium,155.0
Rabbit,Flemish Giant,11,Female,Sick,Medium,Grey,Australia,Highly Trained,Low,95.55
Dog,Bulldog,1,Female,Healthy,Medium,White,Australia,Basic Training,Low,225.0
Dog,Bulldog,2,Male,Healthy,Small,Black,USA,Untrained,Medium,260.0
Rabbit,Netherland Dwarf,9,Male,Sick,Small,Spotted,USA,Highly Trained,Medium,113.75
Cat,Persian,10,Male,Healthy,Small,Brown,India,Well Trained,High,325.0
Cat,Maine Coon,2,Female,Healthy,Medium,Golden,USA,Highly Trained,High,299.0
Cat,Persian,15,Male,Vaccinated,Small,Spotted,Australia,Well Trained,High,357.5
Bird,Finch,13,Male,Special Needs,Small,Mixed,France,Basic Training,Low,57.5
Hamster,Campbell's,5,Female,Sick,Medium,Golden,Australia,Untrained,Medium,77.0
Rabbit,Netherland Dwarf,12,Male,Sick,Medium,Golden,Germany,Well Trained,High,191.1
Cat,Maine Coon,8,Female,Vaccinated,Large,Black,Australia,Highly Trained,High,364.0
Rabbit,Netherland Dwarf,14,Female,Healthy,Medium,Black,USA,Untrained,Medium,170.0
Dog,Labrador,10,Female,Healthy,Medium,Black,Germany,Well Trained,Medium,416.0
Dog,Bulldog,3,Male,Special Needs,Medium,Mixed,UK,Untrained,Low,117.5
Rabbit,Holland Lop,13,Male,Healthy,Large,Brown,Germany,Untrained,Medium,185.0
Cat,Maine Coon,4,Male,Sick,Small,Grey,France,Highly Trained,Medium,154.7
Bird,Cockatiel,12,Male,Sick,Small,Spotted,Germany,Well Trained,High,191.1
Cat,Persian,6,Male,Special Needs,Medium,Black,Canada,Untrained,Medium,100.0
Cat,Bengal,2,Female,Vaccinated,Small,Black,UK,Basic Training,Low,110.0
Cat,Sphynx,10,Female,Healthy,Large,Spotted,Australia,Well Trained,Medium,312.0
Bird,Cockatiel,2,Female,Vaccinated,Large,Spotted,USA,Well Trained,Medium,195.0
Hamster,Dwarf,3,Male,Sick,Large,White,UK,Basic Training,High,119.0
Hamster,Syrian,4,Male,Special Needs,Small,Golden,India,Untrained,High,67.5
Rabbit,Netherland Dwarf,2,Male,Healthy,Medium,Golden,USA,Well Trained,Medium,143.0
Bird,Macaw,3,Female,Healthy,Small,White,Australia,Basic Training,High,165.0
Hamster,Dwarf,6,Male,Sick,Small,Black,USA,Untrained,Low,31.5
Hamster,Campbell's,7,Male,Sick,Medium,White,UK,Untrained,High,119.0
Bird,Finch,3,Male,Special Needs,Large,Mixed,India,Highly Trained,Medium,100.75
Hamster,Roborovski,4,Female,Healthy,Medium,Black,Canada,Untrained,Medium,105.0
Rabbit,Mini Rex,10,Male,Healthy,Large,Mixed,Australia,Well Trained,Low,156.0
Dog,Bulldog,13,Male,Healthy,Medium,Mixed,France,Basic Training,Low,285.0
Rabbit,Angora,9,Female,Vaccinated,Large,Black,Germany,Highly Trained,High,279.5
Rabbit,Netherland Dwarf,15,Female,Special Needs,Large,Golden,Germany,Untrained,Medium,97.5
Cat,Sphynx,3,Male,Vaccinated,Large,Black,Australia,Basic Training,High,255.0
Dog,Poodle,8,Male,Special Needs,Small,Mixed,India,Highly Trained,Medium,188.5
Dog,Poodle,15,Female,Vaccinated,Small,Black,Germany,Untrained,High,375.0
Hamster,Roborovski,3,Male,Vaccinated,Medium,White,France,Basic Training,High,150.0
Cat,Bengal,2,Female,Healthy,Large,Brown,UK,Well Trained,Medium,260.0
Rabbit,Angora,3,Female,Sick,Large,Mixed,India,Basic Training,Low,59.5
Rabbit,Netherland Dwarf,13,Male,Healthy,Small,Black,Australia,Untrained,Low,95.0
Bird,Finch,4,Female,Sick,Small,Mixed,France,Highly Trained,Low,63.7
Hamster,Chinese,14,Female,Sick,Medium,White,UK,Well Trained,High,186.55
Dog,Poodle,8,Female,Healthy,Medium,Brown,Germany,Untrained,Medium,310.0
Bird,Canary,13,Female,Special Needs,Medium,Spotted,Germany,Untrained,High,117.5
Hamster,Campbell's,13,Male,Special Needs,Large,Black,Germany,Untrained,High,110.0
Cat,Maine Coon,9,Female,Vaccinated,Small,Spotted,USA,Highly Trained,Low,188.5
Bird,Parrot,3,Male,Healthy,Small,Spotted,Canada,Highly Trained,High,214.5
Bird,Cockatiel,10,Female,Special Needs,Small,Spotted,Canada,Highly Trained,Low,65.0
Hamster,Campbell's,4,Female,Vaccinated,Medium,Spotted,Australia,Untrained,Medium,105.0
Dog,Poodle,6,Female,Special Needs,Small,Spotted,USA,Well Trained,High,214.5
Dog,Golden Retriever,6,Female,Special Needs,Large,Brown,USA,Well Trained,Low,175.5
Bird,Cockatiel,7,Female,Vaccinated,Large,Golden,France,Untrained,Medium,175.0
Bird,Finch,10,Male,Healthy,Small,White,USA,Well Trained,Medium,195.0
Cat,Sphynx,10,Female,Sick,Large,Golden,UK,Highly Trained,Medium,218.4
Hamster,Campbell's,14,Female,Sick,Small,Grey,UK,Well Trained,Medium,122.85
Hamster,Dwarf,12,Male,Healthy,Medium,Grey,India,Basic Training,High,195.0
Hamster,Roborovski,12,Male,Healthy,Large,Mixed,France,Untrained,High,215.0
Hamster,Roborovski,11,Female,Special Needs,Small,White,France,Untrained,Medium,60.0
Dog,Golden Retriever,5,Male,Special Needs,Small,Grey,France,Basic Training,High,162.5
Hamster,Campbell's,1,Female,Healthy,Large,Mixed,Australia,Untrained,Medium,110.0
Cat,Persian,9,Female,Healthy,Small,White,India,Well Trained,High,318.5
Rabbit,Mini Rex,14,Male,Special Needs,Medium,Golden,Australia,Basic Training,High,110.0
Bird,Canary,15,Female,Special Needs,Small,Spotted,UK,Highly Trained,Low,81.25
Dog,Beagle,12,Female,Healthy,Small,Black,UK,Well Trained,High,468.0
Dog,Poodle,13,Male,Vaccinated,Large,Mixed,USA,Well Trained,Low,396.5
Cat,Sphynx,8,Female,Vaccinated,Large,White,France,Basic Training,Low,180.0
Dog,Bulldog,14,Male,Vaccinated,Medium,White,Australia,Untrained,Low,290.0
Hamster,Campbell's,10,Male,Vaccinated,Small,Black,UK,Highly Trained,Medium,149.5
Cat,Sphynx,2,Male,Vaccinated,Medium,Black,France,Well Trained,Medium,234.0
